     #time         x         v
   48.5523   -0.9827   -0.1407
   48.8051   -0.9866    0.1095
   49.0579   -0.9279    0.3528
   49.3107   -0.8102    0.5736
   49.5635   -0.6410    0.7580
   49.8359   -0.4134    0.9024
   50.1232   -0.1407    0.9825
   50.3760    0.1095    0.9864
   50.6288    0.3527    0.9276
   50.8816    0.5735    0.8098
   51.1344    0.7578    0.6406
   51.4069    0.9022    0.4130
   51.6942    0.9823    0.1403
   51.9470    0.9861   -0.1098
   52.1998    0.9274   -0.3529
   52.4526    0.8096   -0.5736
   52.7053    0.6404   -0.7578
   52.9778    0.4129   -0.9021
   53.2652    0.1403   -0.9821
   53.5180   -0.1098   -0.9859
   53.7707   -0.3528   -0.9270
   54.0235   -0.5735   -0.8093
   54.2763   -0.7576   -0.6401
   54.5488   -0.9019   -0.4125
   54.8361   -0.9818   -0.1399
   55.0889   -0.9856    0.1101
   55.3417   -0.9268    0.3530
   55.5944   -0.8091    0.5736
   55.8472   -0.6399    0.7576
   56.1197   -0.4124    0.9018
   56.4071   -0.1399    0.9817
   56.6599    0.1100    0.9854
   56.9126    0.3530    0.9265
   57.1654    0.5734    0.8087
   57.4182    0.7574    0.6395
   57.6907    0.9016    0.4120
   57.9781    0.9814    0.1395
   58.2308    0.9851   -0.1103
   58.4836    0.9263   -0.3531
   58.7363    0.8085   -0.5735
   58.9891    0.6394   -0.7574
   59.2616    0.4119   -0.9015
   59.5490    0.1395   -0.9812
   59.8018   -0.1103   -0.9849
   60.0545   -0.3531   -0.9259
   60.3073   -0.5734   -0.8082
   60.5600   -0.7573   -0.6390
   60.8326   -0.9013   -0.4116
   61.1200   -0.9810   -0.1391
   61.3727   -0.9846    0.1106
   61.6255   -0.9257    0.3533
   61.8782   -0.8080    0.5735
   62.1309   -0.6389    0.7573
   62.4035   -0.4115    0.9012
   62.6910   -0.1391    0.9808
   62.9437    0.1106    0.9844
   63.1964    0.3532    0.9254
   63.4492    0.5734    0.8076
   63.7019    0.7571    0.6385
   63.9745    0.9010    0.4111
   64.2619    0.9806    0.1387
   64.5147    0.9841   -0.1109
   64.7674    0.9252   -0.3534
   65.0201    0.8074   -0.5735
   65.2728    0.6384   -0.7571
   65.5454    0.4110   -0.9009
   65.8329    0.1387   -0.9804
   66.0856   -0.1108   -0.9839
   66.3383   -0.3533   -0.9248
   66.5911   -0.5733   -0.8071
   66.8438   -0.7569   -0.6380
   67.1164   -0.9007   -0.4106
   67.4039   -0.9802   -0.1383
   67.6566   -0.9836    0.1111
   67.9093   -0.9246    0.3535
   68.1620   -0.8069    0.5734
   68.4147   -0.6379    0.7569
   68.6873   -0.4105    0.9006
   68.9748   -0.1383    0.9800
   69.2275    0.1111    0.9834
   69.4802    0.3534    0.9243
   69.7329    0.5733    0.8065
   69.9856    0.7567    0.6375
   70.2583    0.9004    0.4101
   70.5458    0.9798    0.1379
   70.7985    0.9831   -0.1114
   71.0512    0.9241   -0.3536
   71.3039    0.8063   -0.5734
   71.5566    0.6374   -0.7567
   71.8292    0.4101   -0.9003
   72.1168    0.1379   -0.9796
   72.3695   -0.1114   -0.9829
   72.6221   -0.3536   -0.9237
   72.8748   -0.5733   -0.8060
   73.1275   -0.7565   -0.6370
   73.4002   -0.9001   -0.4097
   73.6877   -0.9794   -0.1375
   73.9404   -0.9826    0.1117
   74.1931   -0.9235    0.3537
   74.4458   -0.8058    0.5733
   74.6984   -0.6369    0.7565
   74.9711   -0.4096    0.9000
   75.2587   -0.1375    0.9792
   75.5114    0.1116    0.9824
   75.7640    0.3537    0.9232
   76.0167    0.5732    0.8054
   76.2694    0.7564    0.6365
   76.5421    0.8998    0.4092
   76.8297    0.9789    0.1372
   77.0823    0.9821   -0.1119
   77.3350    0.9230   -0.3539
   77.5876    0.8052   -0.5733
   77.8403    0.6363   -0.7564
   78.1130    0.4091   -0.8997
   78.4006    0.1371   -0.9787
   78.6533   -0.1119   -0.9819
   78.9060   -0.3538   -0.9226
   79.1586   -0.5732   -0.8048
   79.4113   -0.7562   -0.6359
   79.6840   -0.8995   -0.4087
   79.9716   -0.9785   -0.1368
   80.2243   -0.9816    0.1122
   80.4769   -0.9224    0.3540
   80.7296   -0.8046    0.5733
   80.9823   -0.6358    0.7562
